food,ID,date.hatch,date.4th,mass.4th,date.5th,mass.5th,date.w,mass.w
diet,A,7/26/06,8/5/06,264.92,8/10/06,1634.69,8/15/06,11893.2
diet,B,7/26/06,8/7/06,407.48,8/11/06,1847.95,8/16/06,11483.7
diet,F,7/26/06,8/7/06,224.09,8/12/06,1784.4,8/17/06,10763.2
diet,H,7/26/06,8/6/06,283.62,8/10/06,1828.85,8/15/06,12168
diet,I,7/26/06,8/7/06,500.6,8/11/06,2251.86,8/15/06,12576.5
diet,J,7/26/06,8/5/06,329.16,8/9/06,2283.01,8/13/06,11834.9
diet,K,7/26/06,8/6/06,366.44,8/10/06,1769.05,8/15/06,13194.2
diet,L,7/26/06,8/7/06,326.18,8/12/06,1610.2,8/17/06,12148.1
diet,N,7/26/06,8/7/06,216.7,8/13/06,1160.9,8/19/06,10459.3
diet,O,7/26/06,8/6/06,359.72,8/10/06,1695.36,8/15/06,11765.8
diet,P,7/26/06,8/5/06,429.13,8/9/06,2172.82,8/13/06,11416.5
diet,T,7/26/06,8/6/06,326.79,8/10/06,2315.21,8/14/06,11780.9
diet,U,7/26/06,8/5/06,348.97,8/10/06,1806.41,8/15/06,13528.3
diet,W,7/26/06,8/6/06,326.53,8/10/06,2136.96,8/15/06,14015.8
diet,X,7/26/06,8/9/06,305.79,8/13/06,1422.44,8/18/06,10101.5
diet,Y,7/26/06,8/5/06,196.57,8/10/06,1209.18,8/15/06,10022.1
diet,Z,7/26/06,8/8/06,160.38,8/13/06,1437.39,8/18/06,11262
diet,AA,7/26/06,8/7/06,256.59,8/11/06,1355.95,8/16/06,8997.1
diet,BB,7/26/06,8/6/06,296.44,8/11/06,2052.68,8/16/06,11935.6
diet,CC,7/26/06,8/6/06,210.16,8/11/06,1820.3,8/15/06,10207.5
diet,DD,7/26/06,8/5/06,498.22,8/9/06,2687.91,8/13/06,13715.7